id,source,target,weight
8500010-8500016,8500010,8500016,11443
8500010-8500020,8500010,8500020,43662
8500010-8500021,8500010,8500021,522
8500020-8500021,8500020,8500021,43361
8500010-8500023,8500010,8500023,31297
8500020-8500023,8500020,8500023,569
8500022-8500023,8500022,8500023,20603
8500010-8500090,8500010,8500090,33589
8500023-8500090,8500023,8500090,1990
8500010-8500105,8500010,8500105,8229
8500104-8500105,8500104,8500105,10333
8500010-8500109,8500010,8500109,880
8500028-8500109,8500028,8500109,10488
8500105-8500109,8500105,8500109,17499
8500010-8500113,8500010,8500113,1410
8500028-8500113,8500028,8500113,8902
8500109-8500113,8500109,8500113,19893
8500010-8500117,8500010,8500117,141
8500115-8500117,8500115,8500117,538
8500116-8500117,8500116,8500117,20805
8500010-8500119,8500010,8500119,26
8500118-8500119,8500118,8500119,20610
8500010-8500218,8500010,8500218,17090
8500023-8500218,8500023,8500218,9623
8500026-8500218,8500026,8500218,216
8500027-8500218,8500027,8500218,9767
8500028-8500218,8500028,8500218,534
8500037-8500218,8500037,8500218,9428
8500090-8500218,8500090,8500218,2253
8500136-8500218,8500136,8500218,18959
8500207-8500218,8500207,8500218,8796
8500212-8500218,8500212,8500218,10342
8500217-8500218,8500217,8500218,19053
8500010-8500301,8500010,8500301,17295
8500021-8500301,8500021,8500301,359
8500300-8500301,8500300,8500301,22716
8500010-8503000,8500010,8503000,13984
8500090-8503000,8500090,8503000,4602
8500218-8503000,8500218,8503000,10025
8500309-8503000,8500309,8503000,27446
8500320-8503000,8500320,8503000,10017
8500329-8503000,8500329,8503000,3005
8501120-8503000,8501120,8503000,15964
8501609-8503000,8501609,8503000,7004
8502113-8503000,8502113,8503000,18022
8502115-8503000,8502115,8503000,488
8502119-8503000,8502119,8503000,35256
8502204-8503000,8502204,8503000,25218
8502206-8503000,8502206,8503000,10503
8502208-8503000,8502208,8503000,251
8502209-8503000,8502209,8503000,19369
8502215-8503000,8502215,8503000,3492
8502229-8503000,8502229,8503000,35459
8500021-8500022,8500021,8500022,20739
8500021-8500300,8500021,8500300,22711
8500023-8500024,8500023,8500024,20387
8500023-8500025,8500023,8500025,289
8500024-8500025,8500024,8500025,20411
8500023-8500026,8500023,8500026,20497
8500025-8500026,8500025,8500026,20702
8500026-8500027,8500026,8500027,29664
8500026-8500028,8500026,8500028,25
8500027-8500028,8500027,8500028,19899
8500026-8500031,8500026,8500031,10182
8500026-8502113,8500026,8502113,10807
8500218-8502113,8500218,8502113,1823
8500309-8502113,8500309,8502113,18748
8501037-8502113,8501037,8502113,7942
8501120-8502113,8501120,8502113,967
8502001-8502113,8502001,8502113,8041
8502010-8502113,8502010,8502113,7041
8502103-8502113,8502103,8502113,34467
8502105-8502113,8502105,8502113,252
8502106-8502113,8502106,8502113,13520
8502112-8502113,8502112,8502113,19565
8500031-8500032,8500031,8500032,10182
8500032-8500033,8500032,8500033,10182
8500033-8500034,8500033,8500034,10182
8500034-8500035,8500034,8500035,10182
8500035-8500037,8500035,8500037,9678
8500037-8500240,8500037,8500240,60
8500090-8503424,8500090,8503424,7357
8503000-8503424,8503000,8503424,7921
8503400-8503424,8503400,8503424,8835
8503423-8503424,8503423,8503424,47459
8500100-8500101,8500100,8500101,14686
8500100-8500162,8500100,8500162,13978
8500101-8500102,8500101,8500102,14686
8500102-8500103,8500102,8500103,10333
8500102-8500135,8500102,8500135,4353
8500105-8500135,8500105,8500135,10333
8500103-8500104,8500103,8500104,10333
8500105-8500206,8500105,8500206,9092
8500205-8500206,8500205,8500206,19166
8500109-8500120,8500109,8500120,10469
8500119-8500120,8500119,8500120,8969
8500109-8500159,8500109,8500159,512
8500113-8500159,8500113,8500159,8484
8500126-8500159,8500126,8500159,500
8500144-8500159,8500144,8500159,7984
8500113-8500114,8500113,8500114,21621
8500114-8500115,8500114,8500115,21351
8500115-8500116,8500115,8500116,20491
8500117-8500118,8500117,8500118,21199
8500119-8500136,8500119,8500136,11641
8500126-8500136,8500126,8500136,9532
8500120-8500121,8500120,8500121,19701
8500121-8500122,8500121,8500122,19942
8500122-8500123,8500122,8500123,19986
8500123-8500124,8500123,8500124,19978
8500123-8500169,8500123,8500169,7999
8500124-8500125,8500124,8500125,19978
8500125-8500126,8500125,8500126,19978
8500126-8500127,8500126,8500127,9881
8500126-8500186,8500126,8500186,13067
8500127-8500128,8500127,8500128,9881
8500128-8500141,8500128,8500141,9838
8500135-8504300,8500135,8504300,1787
8500159-8504300,8500159,8504300,17047
8500207-8504300,8500207,8504300,9305
8500218-8504300,8500218,8504300,9862
8503000-8504300,8503000,8504300,603
8503016-8504300,8503016,8504300,598
8504221-8504300,8504221,8504300,19131
8504229-8504300,8504229,8504300,13600
8500135-8504304,8500135,8504304,12899
8504300-8504304,8504300,8504304,9449
8504303-8504304,8504303,8504304,10180
8500141-8500143,8500141,8500143,3097
8500141-8500144,8500141,8500144,6770
8500143-8500144,8500143,8500144,3053
8500159-8501008,8500159,8501008,170
8500218-8501008,8500218,8501008,8173
8501007-8501008,8501007,8501008,20560
8500159-8501120,8500159,8501120,282
8500218-8501120,8500218,8501120,10040
8501008-8501120,8501008,8501120,3437
8501026-8501120,8501026,8501120,15322
8501037-8501120,8501037,8501120,16873
8501103-8501120,8501103,8501120,1684
8501118-8501120,8501118,8501120,71758
8500162-8500164,8500162,8500164,9199
8500162-8500170,8500162,8500170,4779
8500167-8500170,8500167,8500170,9502
8500164-8500165,8500164,8500165,9516
8500165-8500167,8500165,8500167,9516
8500167-8500173,8500167,8500173,991
8500172-8500173,8500172,8500173,9516
8500169-8500174,8500169,8500174,13925
8500173-8500174,8500173,8500174,10479
8500170-8500171,8500170,8500171,9446
8500171-8500172,8500171,8500172,9516
8500174-8500175,8500174,8500175,11200
8500174-8500190,8500174,8500190,3169
8500177-8500190,8500177,8500190,366
8500184-8500190,8500184,8500190,10430
8500175-8500176,8500175,8500176,11296
8500176-8500177,8500176,8500177,11296
8500177-8500178,8500177,8500178,10930
8500178-8500179,8500178,8500179,10930
8500179-8500180,8500179,8500180,10900
8500179-8500184,8500179,8500184,28
8500181-8500184,8500181,8500184,10930
8500180-8500181,8500180,8500181,10930
8500184-8504314,8500184,8504314,556
8500191-8504314,8500191,8504314,3141
8500199-8504314,8500199,8504314,7249
8504237-8504314,8504237,8504314,19009
8504310-8504314,8504310,8504314,7267
8504312-8504314,8504312,8504314,10335
8500186-8500187,8500186,8500187,11472
8500187-8500188,8500187,8500188,8033
8500190-8500191,8500190,8500191,13925
8500191-8500192,8500191,8500192,7998
8500192-8500194,8500192,8500194,7999
8500194-8500195,8500194,8500195,7999
8500195-8500196,8500195,8500196,7999
8500196-8500199,8500196,8500199,7999
8500200-8500201,8500200,8500201,19169
8500201-8500202,8500201,8500202,19169
8500202-8500203,8500202,8500203,19166
8500202-8500207,8500202,8500207,11000
8500206-8500207,8500206,8500207,33028
8500203-8500204,8500203,8500204,19166
8500204-8500205,8500204,8500205,19166
8500207-8500208,8500207,8500208,19253
8500207-8500211,8500207,8500211,18340
8500210-8500211,8500210,8500211,19094
8500207-8500212,8500207,8500212,10341
8500211-8500212,8500211,8500212,55775
8500207-8500260,8500207,8500260,8944
8500207-8500261,8500207,8500261,502
8500218-8500261,8500218,8500261,4449
8500260-8500261,8500260,8500261,9092
8500207-8500272,8500207,8500272,250
8500212-8500272,8500212,8500272,18341
8500207-8504410,8500207,8504410,878
8503225-8504410,8503225,8504410,27
8503508-8504410,8503508,8504410,27
8504300-8504410,8504300,8504410,21169
8500207-8507000,8500207,8507000,19485
8500218-8507000,8500218,8507000,25487
8501609-8507000,8501609,8507000,5850
8503000-8507000,8503000,8507000,2595
8503001-8507000,8503001,8507000,214
8503225-8507000,8503225,8507000,6813
8503504-8507000,8503504,8507000,7576
8503508-8507000,8503508,8507000,188
8504100-8507000,8504100,8507000,1550
8504101-8507000,8504101,8507000,5988
8504103-8507000,8504103,8507000,484
8504115-8507000,8504115,8507000,17806
8504117-8507000,8504117,8507000,1221
8504194-8507000,8504194,8507000,18036
8504410-8507000,8504410,8507000,44820
8504411-8507000,8504411,8507000,11835
8504414-8507000,8504414,8507000,18964
8504441-8507000,8504441,8507000,18350
8504483-8507000,8504483,8507000,9499
8504486-8507000,8504486,8507000,248
8504489-8507000,8504489,8507000,7529
8504495-8507000,8504495,8507000,26715
8505000-8507000,8505000,8507000,9689
8506121-8507000,8506121,8507000,8281
8506302-8507000,8506302,8507000,8401
8500207-8507100,8500207,8507100,7011
8507000-8507100,8507000,8507100,27040
8507006-8507100,8507006,8507100,8004
8507009-8507100,8507009,8507100,19065
8507094-8507100,8507094,8507100,19352
8500207-8508005,8500207,8508005,10348
8503221-8508005,8503221,8508005,27
8504410-8508005,8504410,8508005,27
8507000-8508005,8507000,8508005,18616
8507100-8508005,8507100,8508005,9347
8508003-8508005,8508003,8508005,236
8508004-8508005,8508004,8508005,19555
8500207-8508066,8500207,8508066,3755
8508064-8508066,8508064,8508066,20128
8500207-8508085,8500207,8508085,592
8508005-8508085,8508005,8508085,236
8508084-8508085,8508084,8508085,17870
8500208-8500209,8500208,8500209,19107
8500209-8500210,8500209,8500210,19108
8500212-8500213,8500212,8500213,19261
8500212-8500287,8500212,8500287,751
8500286-8500287,8500286,8500287,18590
8500212-8500292,8500212,8500292,13729
8500212-8508100,8500212,8508100,17632
8500218-8508100,8500218,8508100,114
8502000-8508100,8502000,8508100,8080
8503504-8508100,8503504,8508100,8728
8508008-8508100,8508008,8508100,18601
8500213-8500214,8500213,8500214,19263
8500214-8500215,8500214,8500215,19263
8500215-8500216,8500215,8500216,18836
8500216-8500217,8500216,8500217,19263
8500218-8500309,8500218,8500309,46830
8500305-8500309,8500305,8500309,18145
8500218-8501037,8500218,8501037,596
8501008-8501037,8501008,8501037,277
8501026-8501037,8501026,8501037,7595
8501030-8501037,8501030,8501037,16576
8501031-8501037,8501031,8501037,642
8501035-8501037,8501035,8501037,19779
8501036-8501037,8501036,8501037,18427
8500218-8501605,8500218,8501605,4898
8501506-8501605,8501506,8501605,176
8501509-8501605,8501509,8501605,8290
8501601-8501605,8501601,8501605,9488
8501604-8501605,8501604,8501605,17673
8500218-8502000,8500218,8502000,9527
8500309-8502000,8500309,8502000,27084
8500218-8502001,8500218,8502001,18838
8501120-8502001,8501120,8502001,8473
8502000-8502001,8502000,8502001,19757
8500218-8502110,8500218,8502110,9588
8500309-8502110,8500309,8502110,251
8502105-8502110,8502105,8502110,735
8500218-8505000,8500218,8505000,9813
8502007-8505000,8502007,8505000,9170
8502021-8505000,8502021,8505000,9793
8502028-8505000,8502028,8505000,982
8502042-8505000,8502042,8505000,4687
8502119-8505000,8502119,8505000,15693
8502230-8505000,8502230,8505000,10276
8502306-8505000,8502306,8505000,9523
8503000-8505000,8503000,8505000,8904
8503010-8505000,8503010,8505000,815
8503202-8505000,8503202,8505000,9211
8503284-8505000,8503284,8505000,6543
8504023-8505000,8504023,8505000,30
8504100-8505000,8504100,8505000,7739
8500220-8500221,8500220,8500221,12352
8500221-8504414,8500221,8504414,12352
8504300-8504414,8504300,8504414,17354
8504404-8504414,8504404,8504414,9553
8504412-8504414,8504412,8504414,2945
8504413-8504414,8504413,8504414,18977
8500261-8500262,8500261,8500262,11073
8500262-8500263,8500262,8500263,9594
8500263-8500264,8500263,8500264,9594
8500264-8500265,8500264,8500265,9594
8500265-8500266,8500265,8500266,9092
8500266-8500267,8500266,8500267,9092
8500267-8500268,8500267,8500268,9092
8500272-8500273,8500272,8500273,18590
8500273-8500274,8500273,8500274,18590
8500274-8500275,8500274,8500275,18590
8500275-8500280,8500275,8500280,18590
8500280-8500283,8500280,8500283,18590
8500283-8500285,8500283,8500285,18590
8500285-8500286,8500285,8500286,18590
8500287-8500288,8500287,8500288,19090
8500288-8500289,8500288,8500289,19092
8500289-8518690,8500289,8518690,19092
8508193-8518690,8508193,8518690,17705
8500292-8500293,8500292,8500293,13729
8500293-8500294,8500293,8500294,13729
8500301-8500302,8500301,8500302,23075
8500301-8500305,8500301,8500305,17283
8500302-8500305,8500302,8500305,359
8500304-8500305,8500304,8500305,11704
8500302-8500303,8500302,8500303,21226
8500302-8500313,8500302,8500313,989
8500303-8500313,8500303,8500313,9522
8500305-8500313,8500305,8500313,11216
8500309-8500313,8500309,8500313,488
8500302-8500320,8500302,8500320,501
8500309-8500320,8500309,8500320,10003
8500313-8500320,8500313,8500320,22215
8500303-8500304,8500303,8500304,11704
8500309-8502105,8500309,8502105,9805
8502000-8502105,8502000,8502105,8730
8500320-8500322,8500320,8500322,9737
8500320-8517131,8500320,8517131,11734
8500322-8517131,8500322,8517131,9492
8500329-8503400,8500329,8503400,18024
8503006-8503400,8503006,8503400,8835
8503312-8503400,8503312,8503400,3396
8503313-8503400,8503313,8503400,19097
8500329-8503408,8500329,8503408,752
8503405-8503408,8503405,8503408,17955
8500329-8503409,8500329,8503409,9828
8503408-8503409,8503408,8503409,18706
8500329-8503501,8500329,8503501,9181
8503306-8503501,8503306,8503501,3005
8503411-8503501,8503411,8503501,10078
8501000-8501001,8501000,8501001,16753
8501000-8501002,8501000,8501002,3806
8501001-8501002,8501001,8501002,16503
8501001-8501003,8501001,8501003,250
8501002-8501003,8501002,8501003,20198
8501003-8501006,8501003,8501006,20309
8501003-8501007,8501003,8501007,250
8501006-8501007,8501006,8501007,20279
8501008-8501011,8501008,8501011,35953
8501008-8501022,8501008,8501022,707
8501021-8501022,8501021,8501022,34892
8501008-8501023,8501008,8501023,20412
8501022-8501023,8501022,8501023,36191
8501008-8501026,8501008,8501026,40429
8501023-8501026,8501023,8501026,3476
8501008-8501030,8501008,8501030,624
8501022-8501030,8501022,8501030,471
8501023-8501030,8501023,8501030,16695
8501026-8501030,8501026,8501030,19842
8501008-8501031,8501008,8501031,193
8501023-8501031,8501023,8501031,100
8501030-8501031,8501030,8501031,20830
8501008-8516155,8501008,8516155,3162
8501023-8516155,8501023,8516155,35719
8501120-8516155,8501120,8516155,1703
8501200-8516155,8501200,8516155,6737
8501403-8516155,8501403,8516155,6524
8501506-8516155,8501506,8516155,473
8501011-8501012,8501011,8501012,35955
8501012-8501013,8501012,8501013,35955
8501013-8501014,8501013,8501014,35955
8501014-8501015,8501014,8501015,35955
8501015-8501020,8501015,8501020,35955
8501020-8501021,8501020,8501021,35955
8501023-8501035,8501023,8501035,249
8501031-8501035,8501031,8501035,100
8501033-8501035,8501033,8501035,19727
8501023-8516283,8501023,8516283,236
8516274-8516283,8516274,8516283,35717
8501030-8501053,8501030,8501053,25194
8501031-8501033,8501031,8501033,19647
8501033-8501118,8501033,8501118,112
8501037-8501118,8501037,8501118,20082
8501042-8501118,8501042,8501118,9458
8501048-8501118,8501048,8501118,8969
8501117-8501118,8501117,8501118,32315
8501035-8501036,8501035,8501036,18427
8501037-8501042,8501037,8501042,18427
8501037-8501054,8501037,8501054,17084
8501037-8501200,8501037,8501200,30
8501120-8501200,8501120,8501200,34177
8501124-8501200,8501124,8501200,8731
8501127-8501200,8501127,8501200,9794
8501037-8504200,8501037,8504200,413
8501120-8504200,8501120,8504200,14267
8501200-8504200,8501200,8504200,564
8501400-8504200,8501400,8504200,977
8501402-8504200,8501402,8504200,7105
8501403-8504200,8501403,8504200,248
8503000-8504200,8503000,8504200,8253
8503016-8504200,8503016,8504200,8688
8504144-8504200,8504144,8504200,472
8504181-8504200,8504181,8504200,17256
8501042-8501045,8501042,8501045,8969
8501045-8501047,8501045,8501047,8969
8501047-8501048,8501047,8501048,8969
8501053-8501055,8501053,8501055,7248
8501053-8501056,8501053,8501056,9228
8501055-8501056,8501055,8501056,7262
8501053-8501059,8501053,8501059,8718
8501058-8501059,8501058,8501059,16432
8501054-8501080,8501054,8501080,17084
8501055-8501060,8501055,8501060,2231
8501059-8501060,8501059,8501060,7248
8501056-8501057,8501056,8501057,16432
8501057-8501058,8501057,8501058,16336
8501059-8501062,8501059,8501062,9228
8501061-8501062,8501061,8501062,9493
8501059-8501066,8501059,8501066,8718
8501065-8501066,8501065,8501066,15796
8501060-8501061,8501060,8501061,9478
8501062-8501063,8501062,8501063,16378
8501062-8519077,8501062,8519077,2203
8501069-8519077,8501069,8519077,7248
8501063-8501064,8501063,8501064,16378
8501064-8501065,8501064,8501065,16378
8501066-8501067,8501066,8501067,25150
8501067-8501068,8501067,8501068,25150
8501068-8501069,8501068,8501069,25179
8501080-8501081,8501080,8501081,17084
8501081-8501082,8501081,8501082,17084
8501082-8501083,8501082,8501083,17084
8501083-8501085,8501083,8501085,17084
8501084-8501087,8501084,8501087,6206
8501085-8501090,8501085,8501090,17084
8501087-8501088,8501087,8501088,6206
8501088-8501089,8501088,8501089,6206
8501089-8501094,8501089,8501094,7478
8501093-8501094,8501093,8501094,7100
8501089-8501097,8501089,8501097,888
8501094-8501097,8501094,8501097,8366
8501090-8501091,8501090,8501091,17084
8501091-8501092,8501091,8501092,17084
8501092-8501093,8501092,8501093,17074
8501094-8501095,8501094,8501095,17084
8501095-8501096,8501095,8501096,17084
8501097-8501098,8501097,8501098,8346
8501098-8501099,8501098,8501099,4125
8501100-8501103,8501100,8501103,6872
8501100-8501104,8501100,8501104,2988
8501103-8501104,8501103,8501104,18171
8501103-8501106,8501103,8501106,1325
8501104-8501106,8501104,8501106,1401
8501105-8501106,8501105,8501106,9892
8501103-8501108,8501103,8501108,26
8501107-8501108,8501107,8501108,12618
8501103-8501151,8501103,8501151,150
8501104-8501151,8501104,8501151,9710
8501104-8501105,8501104,8501105,9892
8501106-8501107,8501106,8501107,12618
8501108-8501115,8501108,8501115,11890
8501112-8501115,8501112,8501115,9367
8501114-8501115,8501114,8501115,11148
8501110-8501111,8501110,8501111,11133
8501111-8501112,8501111,8501112,11133
8501112-8501113,8501112,8501113,11133
8501112-8501191,8501112,8501191,4701
8501113-8501114,8501113,8501114,11148
8501115-8501116,8501115,8501116,18952
8501115-8501117,8501115,8501117,13378
8501116-8501117,8501116,8501117,18937
8501120-8501121,8501120,8501121,18298
8501120-8501124,8501120,8501124,236
8501122-8501124,8501122,8501124,8495
8501123-8501124,8501123,8501124,9794
8501120-8501300,8501120,8501300,1650
8501198-8501300,8501198,8501300,9242
8501200-8501300,8501200,8501300,26500
8501203-8501300,8501203,8501300,19049
8501120-8504000,8501120,8504000,19275
8501120-8504012,8501120,8504012,9461
8501200-8504012,8501200,8504012,9114
8504011-8504012,8504011,8504012,19275
8501120-8504014,8501120,8504014,908
8502007-8504014,8502007,8504014,8472
8504007-8504014,8504007,8504014,100
8504012-8504014,8504012,8504014,28736
8501120-8504100,8501120,8504100,236
8502007-8504100,8502007,8504100,188
8503000-8504100,8503000,8504100,683
8503016-8504100,8503016,8504100,7937
8504023-8504100,8504023,8504100,9386
8504030-8504100,8504030,8504100,15377
8504086-8504100,8504086,8504100,17710
8501120-8518452,8501120,8518452,9894
8501400-8518452,8501400,8518452,7330
8501403-8518452,8501403,8518452,401
8504200-8518452,8504200,8518452,284
8504201-8518452,8504201,8518452,11052
8501121-8501122,8501121,8501122,18298
8501122-8501123,8501122,8501123,9794
8501124-8501125,8501124,8501125,9794
8501125-8501126,8501125,8501126,9794
8501126-8501127,8501126,8501127,9794
8501151-8501152,8501151,8501152,9860
8501152-8501153,8501152,8501153,9860
8501153-8501154,8501153,8501154,9860
8501154-8501155,8501154,8501155,9860
8501155-8501156,8501155,8501156,9860
8501156-8501157,8501156,8501157,9860
8501157-8501159,8501157,8501159,9860
8501159-8530783,8501159,8530783,9860
8501160-8501162,8501160,8501162,21736
8501162-8501163,8501162,8501163,21736
8501163-8501164,8501163,8501164,29576
8501164-8501165,8501164,8501165,21905
8501165-8501166,8501165,8501166,23014
8501166-8501168,8501166,8501168,32042
8501168-8501169,8501168,8501169,32042
8501169-8501170,8501169,8501170,32042
8501170-8501171,8501170,8501171,32042
8501171-8501172,8501171,8501172,32042
8501172-8501173,8501172,8501173,32042
8501173-8501174,8501173,8501174,18373
8501173-8501181,8501173,8501181,14651
8501178-8501181,8501178,8501181,17164
8501173-8587727,8501173,8587727,115
8501178-8587727,8501178,8587727,142
8501181-8587727,8501181,8587727,21736
8501174-8501175,8501174,8501175,18539
8501175-8501176,8501175,8501176,18539
8501176-8501177,8501176,8501177,18539
8501177-8501178,8501177,8501178,18539
8501179-8501199,8501179,8501199,10354
8501191-8501194,8501191,8501194,4701
8501194-8530262,8501194,8530262,4701
8501198-8501388,8501198,8501388,486
8501387-8501388,8501387,8501388,8677
8501199-8501400,8501199,8501400,10119
8501229-8501400,8501229,8501400,13763
8501300-8501400,8501300,8501400,20358
8501303-8501400,8501303,8501400,15670
8501304-8501400,8501304,8501400,9864
8501199-8501480,8501199,8501480,235
8501400-8501480,8501400,8501480,10133
8501200-8501201,8501200,8501201,19239
8501200-8501260,8501200,8501260,24632
8501201-8501202,8501201,8501202,18879
8501201-8501203,8501201,8501203,241
8501202-8501203,8501202,8501203,18809
8501229-8501448,8501229,8501448,528
8501400-8501448,8501400,8501448,8720
8501229-8501453,8501229,8501453,147
8501448-8501453,8501448,8501453,528
8501452-8501453,8501452,8501453,8720
8501229-8501459,8501229,8501459,3651
8501458-8501459,8501458,8501459,15993
8501260-8501262,8501260,8501262,23262
8501262-8501263,8501262,8501263,24632
8501263-8501264,8501263,8501264,24632
8501264-8501265,8501264,8501265,24632
8501265-8501266,8501265,8501266,24632
8501266-8501280,8501266,8501280,24632
8501280-8501281,8501280,8501281,24632
8501281-8501282,8501281,8501282,8883
8501282-8501283,8501282,8501283,8925
8501283-8501284,8501283,8501284,8925
8501284-8501285,8501284,8501285,7001
8501285-8501286,8501285,8501286,7001
8501286-8501287,8501286,8501287,7001
8501287-8501288,8501287,8501288,6005
8501287-8530261,8501287,8530261,996
8501288-8530261,8501288,8530261,6005
8501300-8501301,8501300,8501301,9628
8501300-8501303,8501300,8501303,15908
8501302-8501303,8501302,8501303,9628
8501300-8501374,8501300,8501374,16503
8501300-8501506,8501300,8501506,1562
8501500-8501506,8501500,8501506,19666
8501505-8501506,8501505,8501506,17643
8501301-8501302,8501301,8501302,9628
8501303-8501304,8501303,8501304,9855
8501374-8501375,8501374,8501375,16443
8501375-8501376,8501375,8501376,16263
8501376-8501377,8501376,8501377,16278
8501377-8501378,8501377,8501378,9565
8501377-8501380,8501377,8501380,6389
8501379-8501380,8501379,8501380,3179
8501378-8501379,8501378,8501379,9865
8501379-8501384,8501379,8501384,6459
8501380-8501384,8501380,8501384,446
8501383-8501384,8501383,8501384,9358
8501380-8501381,8501380,8501381,9073
8501381-8501382,8501381,8501382,9133
8501382-8501383,8501382,8501383,9133
8501384-8501385,8501384,8501385,9298
8501384-8501386,8501384,8501386,6905
8501385-8501386,8501385,8501386,2699
8501385-8501390,8501385,8501390,6389
8501387-8501390,8501387,8501390,1128
8501388-8501390,8501388,8501390,1648
8501386-8501387,8501386,8501387,9790
8501388-8501391,8501388,8501391,7309
8501390-8501391,8501390,8501391,2332
8501388-8501394,8501388,8501394,471
8501393-8501394,8501393,8501394,9666
8501390-8504070,8501390,8504070,472
8501394-8504070,8501394,8504070,709
8501399-8504070,8501399,8504070,9242
8501391-8501392,8501391,8501392,9651
8501392-8501393,8501392,8501393,9681
8501394-8501395,8501394,8501395,9443
8501395-8501396,8501395,8501396,9428
8501396-8501397,8501396,8501397,9428
8501397-8501398,8501397,8501398,9428
8501398-8501399,8501398,8501399,9428
8501399-8507270,8501399,8507270,3185
8504070-8507270,8504070,8507270,6368
8501399-8507271,8501399,8507271,1474
8507270-8507271,8507270,8507271,11583
8501400-8501402,8501400,8501402,20138
8501400-8501403,8501400,8501403,9215
8501402-8501403,8501402,8501403,12969
8501400-8501452,8501400,8501452,7101
8501448-8501452,8501448,8501452,8734
8501400-8501458,8501400,8501458,172
8501452-8501458,8501452,8501458,7101
8501457-8501458,8501457,8501458,8734
8501400-8501468,8501400,8501468,7904
8501400-8501500,8501400,8501500,7363
8501403-8501500,8501403,8501500,11637
8501405-8501500,8501405,8501500,492
8501421-8501500,8501421,8501500,8436
8501428-8501500,8501428,8501500,8459
8501402-8501446,8501402,8501446,4107
8501402-8501487,8501402,8501487,3480
8501447-8501487,8501447,8501487,3787
8501403-8501404,8501403,8501404,17406
8501403-8501420,8501403,8501420,1729
8501405-8501420,8501405,8501420,16312
8501404-8501405,8501404,8501405,17309
8501420-8501421,8501420,8501421,18829
8501421-8501422,8501421,8501422,9388
8501422-8501423,8501422,8501423,9388
8501423-8501424,8501423,8501424,9388
8501424-8501425,8501424,8501425,9388
8501425-8501426,8501425,8501426,9175
8501426-8501428,8501426,8501428,9343
8501446-8501447,8501446,8501447,7502
8501447-8501492,8501447,8501492,98
8501491-8501492,8501491,8501492,7806
8501447-8501495,8501447,8501495,3617
8501494-8501495,8501494,8501495,7973
8501453-8501454,8501453,8501454,9253
8501454-8501456,8501454,8501456,9101
8501454-8501465,8501454,8501465,138
8501464-8501465,8501464,8501465,9261
